GOVIATS, fourbiſſez ma rondelle:	GOUJATS, fourbissez ma rondelle:
Qu'on me face qu'elle eſtincelle,	Qu'on me face quelle étincelle,
Eſclatant plus grande clarté	Éclatant plus grande clarté
Que n'eſt au plus beau iour d'eſté	Que n'est au plus beau jour d'été
La clarté du ſoleil, ie dy	La clarté du soleil, je dis
Lors que tout bruſle en plein midy:	Lorsque tout brûle en plein midi:
A fin que s'il fauſt que lon aille	Afin que s'il faut que l'on aille
 Donner l'assaut ou la bataille,	Donner l'aſſaut ou la bataille,
Venant aux mains, elle ébarlue	Venant aux mains, elle ébarlue
L'ennemi frappé dans la vue.	L'ennemi frappé dans la vue.
O toy rapiere que ie porte,	Ô toi rapière que je porte,
Il fauſt que ie te reconforte:	Il faut que je te réconforte:
Ne te plain, ne te deſeſpere	Ne te plains, ne te désespère
D'eſtre ſi long temps ſans rien faire:	D'être si longtemps sans rien faire:
Si d'arracher tu as enuie	Si d'arracher tu as envie
A plus d'vn ennemi de la vie,	À plus d'un ennemi de la vie,
Fracaſſant bras, iambes & teſte,	Fracassant bras, jambes et tête,
Force carnage ie t'appreſte,	Force carnage je t'apprête,
Ou ne fauſdra fraper en vain.	Ou ne faudra frapper en vain.
Mais ou eſt icy Gallepain.	Mais où est ici Gallepain.
Le voyci pres d'vn perſonnage	Le voici près d'un personnage
Glorieux & de fier courage,	Glorieux et de fier courage,
Hazardeux en toute entrepriſe,	Hazardeux en toute entreprise,
Que la Fortune fauoriſe,	Que la Fortune favorise,
Homme en tout digne d'eſtre Roy,	Homme en tout digne d'être Roi,
Si braue guerrier que (ie croy)	Si brave guerrier que (je crois)
Mars meſme le Dieu des combas	Mars même le Dieu des combats
Auecque vous n'oſeroit pas	Avecque vous n'oserez pas
S'aparager, non ſans raiſon,	S'aparager, non sans raison,
N'y ayant point comparaiſon	N'y ayant point comparaison
De ſa proüeſſe à vos faidarmes	De sa prouesse à vos faits d'armes
Tant vous eſtes adroit aux armes.	Tant vous êtes adroits aux armes.
Mais, aux aproches d'Edinton,	Mais, aux approches d'Edinton,
Qui fit la belle faction	Qui fit la belle faction
A la ſaillie, ou commandoit	À la saillie, ou commandait
Ce braue Millor, qui eſtoit	Ce brave Millor, qui était
Parent du Duc Notomberlant?	Parent du Duc Northumberland?
Il m'en ſouuient: c'eſt ce Geant	Il m'en souvient: c'est ce Géant
Couuert d'vn harnois tout doré,	Couvert d'un harnois tout doré,
Qui par vous fut ſi bien bourré:	Qui par vous fut si bien bourré:
Ce Geant que deſarconâtes	Ce Géant que vous désarçonnâtes
D'vn coup d'eſpieu que luy donâtes:	D'un coup d'épieu que vous lui donnâtes:
Sa troupe fuït débandee,	Sa troupe fuit débandée,
Comme on voit les fucilles ſouuent	Comme on voit les fucilles souvent
S'éparpiller deuant le vent.	S'éparpiller devant le vent.
Ceci n'eſt rien.	Ceci n'est rien.
Non ce n'eſt rien,	Non ce n'est rien,
Au pris de ce qu'on pourroit bien	Au prix de ce qu'on pourrait bien
Raconter, que tu ne fis oncques.	Raconter, que tu ne fis oncques.
Si pas vn trouue hõme quelconques	Si pas un trouve homme quelconques
Qui ſoit plus ſot, plus glorieux,	Qui soit plus sot, plus glorieux,
Plus vanteur, plus audacieux,	Plus vanteur, plus audacieux,
Qu'eſt ce fat, me tende la main:	Qu'est ce fat, me tende la main:
Ie me donne à luy pour du pain.	Je me donne à lui pour du pain.
Ou es-tu allé?	Où es-tu allé?
Me voyci:	Me voici:
Quel effort fites-vous auſſi	Quel effort fîtes-vous aussi
Contre ce monſtre d'Oliphant?	Contre ce monstre d'Oliphant?
Ce fut vn acte triomphant,	Ce fut un acte triomphant,
Quand vous luy rompiſtes le bras.	Quand vous lui rompîtes le bras.
Quel bras?	Quel bras?
Non, ie ne vouloy pas	Non, je ne voulai pas
Dire le bras: ce fut la cuiſſe:	Dire le bras: ce fut la cuisse:
Vous vouluſtes que ie le viſſe.	Vous voulûtes que je le visse.
Et, ſi vous fuſſiez efforcé,	Et, si vous fussiez efforcé,
Vous l'euſſiez tout outreperſé	Vous l'eussiez tout outrepassé
De part en part d'vn coup de poing,	De part en part d'un coup de poing,
Paſſant la main de là bien loing	Passant la main de là bien loin
A trauers ſes coſtes, ſes os,	À travers ses côtes, ses os,
Sa peau, ſa chair, & ſes boyos.	Sa peau, sa chair, et ses boyaux.
Laiſſe-là la beſte.	Laisse-là la bête.
Il fauſt doncques	Il faut doncques
Te laiſſer, car il n'en fut oncques	Te laisser, car il n'en fut jamais
Si tu n'es beſte.	Si tu n'es bête.
Que dis-tu?	Que dis-tu?
Ie parloy de voſtre vertu	Je parlai de votre vertu
Qui ne put ſouffrir qu'vn ſauuage	Qui ne put souffrir qu'un sauvage
Fiſt tant, qu'encores d'auantage	Fit tant, qu'encore davantage
Ne fiſſiez: quand deuant Dombarre	Ne fissiez: quand devant Dombarre
Les Anglois ſi bien on rembarre.	Les Anglais si bien on rembarre.
Le ſauuage (ce diſoit-on)	Le sauvage (se disait-on)
En prit vn deuant Edinton,	En prit un devant Edinton,
Mais vous tout ſeul deux vous en priſtes,	Mais vous tout seul deux vous en prîtes,
Et ſur vos eſpaules les miſtes,	Et sur vos épaules les mîtes,
Et tout ſeul vous les aportaſtes	Et tout seul vous les apportâtes
En la ville, où les déchargeaſtes	En la ville, où les déchargeâtes
Tous deux, aux yeux de cent teſmoins,	Tous deux, aux yeux de cent témoins,
Auſſi croyables pour le moins	Aussi croyables pour le moins
Que ie ſuis, qui en bonne foy	Que je fuis, qui en bonne foi
Le ſcauent auſſi bien que moy.	Le savent aussi bien que moi.
Ie ne veux que lon parle icy	Je ne veux que l'on parle ici
De tout cela.	De tout cela.
Ce n'eſt auſſi	Ce n'est aussi
Grand chef d'oeuure à moy de les dire,	Grand chef d'œuvre à moi de les dire,
Qui ſcay vos vertus. Qui eſt pire	Qui sait vos vertus. Qui est pire
Que le ventre & la malle fain?	Que le ventre et la male faim?
Il me font pour auoir du pain	Il me font pour avoir du pain
Preſter l'oreille à ce ſot home.	Prêter l'oreille à ce sot homme.
De peur que mon moulin ne chome,	De peur que mon moulin ne chomme,
Mes moulieres moulans à vuide,	Mes moulières moulant à vide,
Où c'eſt que pauureté me guide!	Où c'est que pauvreté me guide!
Encor que ce ſoit menterie	Encore que ce soit menterie
Tout ce qu'il dit, par flaterie	Tout ce qu'il dit, par flaterie
Il me fauſt accorder à tout,	Il me faut accorder à tout,
Pour boire & pour manger au bout.	Pour boire et pour manger au bout.
Qu'eſt-ce que ie veu dire? Holá!	Qu'est-ce que je veux dire? Holà!
Ie ſcay bien : il eſt vray cela:	Je sais bien : il est vrai cela:
I'en ay bien bonne ſouuenance.	J'en ai bien bonne souvenance.
Qu'eſtoit-ce?	Qu'était-ce?
Quoy que ſoit i'y penſe.	Quoi que ce soit j'y pense.
As-tu ſur toy ton eſcritoire?	As-tu sur toi ton écritoire?
Demandez-vous ſi ie l'ay? voire	Demandez-vous si je l'ai? voire
Ie l'ay: l'encre auec le papier,	Je l'ai: l'encre avec le papier,
La plume, & ce qui fait meſtier.	La plume, et ce qui fait métier.
Il n'eſt poſsible de voir rien	Il n'est possible de voir rien
Plus duict, que ton eſprit au mien.	Plus duit, que ton esprit au mien.
Il fault que ie ſcache par cueur	Il faut que je sache par cœur
La volonte de voſtre cueur,	La volonté de votre coeur,
Afin que, pluſtoſt que le vent,	Afin que, plutôt que le vent,
Mon penſer prompr vole deuant	Mon penſer prompt vole devant
Voſtre vouloir, & que i'entende	Votre vouloir, et que j'entende
A demi mot ce qu'il demande.	À demi mot ce qu'il demande.
Et bien en as-tu ſouuenance?	Et bien en as-tu souvenance?
Il m'en ſouuiendra, ſi i'y panſe.	Il m'en souviendra, si j'y pense.
Cent fantaſſins en Angleterre:	Cent fantassins en Angleterre:
Soixante lancettes de guerre:	Soixante lancettes de guerre:
Cent cinquante archers Irlandois,	Cent cinquante archers Irlandais,
Et trente Notomberlandois:	Et trente Northumberlandais:
C'eſt le nombre des hommes morts,	C'est le nombre des hommes morts,
Deſquels en vn iour vos bras forts	Desquels en un jour vos bras forts
Firent carnage en la bataille,	Firent carnage en la bataille,
Autant d'eſtoc comme de taille.	Autant d'estoc comme de taille.
Combien eſt-ce que le tout monte?	Combien est-ce que le tout monte?
Ce ſont treize cent de bon conte.	Ce font treize cent de bon compte.
Il fault qu'il y en ait autant:	Il faut qu'il y en ait autant:
Tu ſcez le nombre tout contant.	Tu sais le nombre tout comptant.
Si eſt-ce que ie n'en ay rien	Si est-ce que je n'en ai rien
Par eſcrit, & m'en ſouuient bien.	Par écrit, et m'en souvient bien.
