LE voile n'eſt le rempart le plus ſur	LE voile n’est le rempart le plus sûr
Contre l’amour, ny le moins acceſſible,	Contre l’amour, ni le moins accessible,
Y pourvoira, ſi pourvoir eſt poſſible.	Y pourvoira, si pourvoir est possible.
C’eſt à mon ſens une erreur trop viſible	C’est à mon sens une erreur trop visible
De preſumer, aprés qu’une perſonne,	De présumer, après qu’une personne,
Bon gré, mal gré, s’eſt miſe en un Convent,	Bon gré, mal gré, s’est mise en un Couvent,
Que Dieu prendra ce qu’ainſi l’on luy donne.	Que Dieu prendra ce qu’ainsi l’on lui donne.
Abus, abus, je tiens que le malin,	Abus, abus, je tiens que le malin,
N’a revenu plus clair & plus certain.	N’a revenu plus clair et plus certain.
(Sauf toutefois l’assistance Divine.	(Sauf toutefois l’assistance Divine.
Que d’eſtre pure & nette de peché,	Que d’être pure et nette de péché,
Soit privilege à la guimpe attaché.	Soit privilège à la guimpe attaché.
Filles du monde ont toûjours plus de peur,	Filles du monde ont toujours plus de peur,
Que l’on ne donne atteinte à leur honneur,	Que l’on ne donne atteinte à leur honneur,
La raiſon eſt, qu’elles en ont à faire,	La raiſon est, qu’elles en ont à faire,
Moins d’ennemis attaquent leur pudeur.	Moins d’ennemis attaquent leur pudeur.
Les autres n’ont pour un ſeul adverſaire.	Les autres n’ont pour un seul adversaire.
Tentation, fille d’oiſiveté,	Tentation, fille d’oisiveté,
Puis le deſir, enfant de la contrainte: Puis le désir, enfant de la contrainte:	
Ma fille eſt Nonne, Ergo, c’eſt une Sainte,	Ma fille est Nonne, Ergo, c’est une Sainte,
En ont regret & ſe mordent les doigts;	En ont regret et se mordent les doigts;
Font ſouvent pis, au moins l’ay-je ouy dire,	Font souvent pis, au moins l’ai-je ouï dire,
Car pour ce point je parle ſans ſçavoir,	Car pour ce point je parle sans savoir,
Bocace en fait certain conte pour rire,	Boccace en fait certain conte pour rire,
Que j’ay rimé comme vousallez voir.	Que j’ai rimé comme vous allez voir.
Un bon Vieillard en un Convent de filles	Un bon Vieillard en un Couvent de filles
Elles eſtoient toutes aſſez gentilles,	Elles étaient toutes assez gentilles,
Et volontiers jaſoient dés le matin.	Et volontiers jasaient dès le matin.
Qu’à ſe montrer au Parloir aguimpées,	Qu’à se montrer au Parloir aguimpées,
Bien blanchement comme droites poupées.	Bien blanchement comme droites poupées.
Preſte chacune à tenir coup aux gens;	Prêtes chacune à tenir coup aux gens;
Et n’eſtoit jour qu’on ne trouvât leans	Et n’était jour qu’on ne trouvât léans
Fille qui n’eût dequoy rendre le change	Fille qui n’eût de quoi rendre le change
Sans s’envoyer l’une à l’autre l’éteuf.	Sans s’envoyer l’une à l’autre l’éteuf.
Si mal d’accord que c’eſtoit choſe étrange.	Si mal d’accord que c’était choſe étrange.
De la beauté la pluſpart en avoient,	De la beauté la plupart en avaient,
En cettuy lieu beaux peres frequentoient	En cettui lieu beaux pères frequentaient
Comme on peut croire; &tant bien ſupputoient	Comme on peut croire; &tant bien supputaient
Qu’ils ne manquoient à tomber ſur leurs routes	Qu’ils ne manquaient à tomber ſur leurs routes
Le bon hommeau jardinier deſſus dit,	Le bon hommeau jardinier dessus dit,
Prés de ces Sœurs perdoit preſque l’eſprit,	Près de ces Sœurs perdait preſque l’eſprit,
A leur caprice il ne pouvoit ſuffire.	À leur caprice il ne pouvait suffire.
Dont ne pouvant entre elles s’accorder,	Dont ne pouvant entre elles s’accorder,
Il ſouffroit plus que l'on ne ſçauroit dire	Il ſouffrait plus que l’on ne saurait dire
Il en ſortit de la meſme faço	Il en sortit de la même façon
Qu’eſtoit entré là dedans le pauvre homme,	Qu’était entré là-dedans le pauvre homme,
Sans croix ny pile & n’ayant rien en ſomme	Sans croix ni pile & n’ayant rien en somme
Qu’un vieil habit. Certain jeune garçon	Qu’un vieil habit. Certain jeune garçon
De Lamporech, ſi j’ay bonne memoire,	De Lamporech, si j’ai bonne mémoire,
Dit au vieillard un beau jour aprés boire,	Dit au vieillard un beau jour après boire,
Qu’il paſſeroit bien volontiers ſa vie	Qu’il passerait bien volontiers sa vie
Prés de ces Sœeurs; & qu’il avoit envie	Près de ces Sœeurs; & qu’il avait envie
Sans demander recompenſe ny gages.	Sans demander récompenses ni gages.
Le compagnon ne viſoit à l’argent,	Le compagnon ne visait à l’argent,
Trop bien croyoit ces Sœurs eſtant peu ſages,	Trop bien croyait ces Sœurs étant peu ſages,
Qu’il en pourroit croquer une en paſſant,	Qu’il en pourrait croquer une en paſſant,
Et puis une autre, & puis toute la troupe.	Et puis une autre, et puis toute la troupe.
Nuto, luy dit, c’eſt le nom du vieillard,	Nuto, lui dit, c’est le nom du vieillard,
J’aimerois mieux eſtre ſans pain ny ſoupe,	J’aimerais mieux être sans pain ni soupe,
Que d’employer en ce lieu mon travail,	Que d’employer en ce lieu mon travail,
Qui n’a taſté de cette marchandiſe,	Qui n’a tâté de cette marchandise,
Ne ſçait encor ce que c’eſt que tourment	Ne sait encore ce que c’est que tourment
Je te le dis, laiſſe-là ce Convent;	Je te le dis, laisse-là ce Couvent;
Car d’eſperer les ſervir à leur guiſe,	Car d’espérer les servir à leur guiſe,
C’eſt un abus; l’une voudra du mou,	C’est un abus; l’une voudra du mou,
L’autre du dur, parquoy je te tien fou,	L’autre du dur, par quoi je te tiens fou,
Tu n’auras pas œuvre faite entre nous;	Tu n’auras pas œuvre faite entre nous;
L’une voudra que tu plantes des choux,	L’une voudra que tu plantes des choux,
Mazet reprit, ce n’eſt pas là le point,	Mazet reprit, ce n’est pas là le point,
Voy-tu Nuto, je ne ſuis qu’une beſte,	Vois-tu Nuto, je ne ſuis qu’une bête,
Mais dans ce lieu tu ne me verras point	Mais dans ce lieu tu ne me verras point
Un mois entier, ſans qu’on m’y faſſe feſte.	Un mois entier, sans qu’on m’y fasse fête.
La raiſon eſt, que je n’ay que vingt ans	La raison est, que je n’ai que vingt ans
Et comme toy je n’ay pas fait mon temps.	Et comme toi je n’ai pas fait mon temps.
Que d’eſtre admis. Lors luy dit le bon homme,	Que d’être admis. Lors lui dit le bon homme,
Au Fac-totum tu n’as qu’à t’adreſſer;	Au Factotum tu n’as qu’à t’adreſſer;
Allons dit l’autre. Il me vient une choſe	Allons dit l’autre. Il me vient une chose
Dedans l’eſprit, je feray le müet	Dedans l’esprit, je ferai le muet
Et l’idiot. Je penſe qu’en effet	Et l’idiot. Je pense qu’en effet
Reprit Nuto, cela peut eſtre cauſe	Reprit Nuto, cela peut être cause
Que le Pater avec le Fac-totum,	Que le Pater avec le Factotum,
N’auront de toy ny crainte ny ſoupçon.	N’auront de toi ni crainte ni soupçon
Voilà Mazet, à qui pour bien venue	Voilà Mazet, à qui pour bienvenue
L’on fait beſcher la moitié du jardin.	L’on fait bêcher la moitié du jardin.
Et cependant laboure comme un ſire.	Et cependant laboure comme un sire.
Autour de luy les Nonnesalloient rire.	Autour de lui les Nonnes allaient rire.
Un certain jour le compagnon dormant,	Un certain jour le compagnon dormant,
Ou bien feignant de dormir, il n’importe,	Ou bien feignant de dormir, il n’importe,
Bocace dit qu’il en faiſoit ſemblant.	Bocace dit qu’il en faiſait ſemblant.
Deux des Nonains le voyant de la ſorte	Deux des Nonnains le voyant de la sorte
Nulle des Sœurs ne faiſoit long ſejour	Nulle des Sœurs ne faisait long séjour
Hors le logis, le tout crainte du haſle.	Hors le logis, le tout crainte du hâle.
Dit à ſa Sœur, dedans ce cabinet	Dit à ſa Sœur, dedans ce cabinet
Menons ce ſot; Mazet eſtoit beau maſle,	Menons ce sot; Mazet était beau mâle,
Et la galande à le conſiderer	Et la galande à le conſidérer
Avoit pris gouſt, pourquoy ſans diferer	Avait pris goût, pourquoi sans différer
Amour luy fit propoſer cette affaire.	Amour lui fit proposer cette affaire.
L’autre reprit, là dedans, hé quoy faire?	L’autre reprit, là-dedans, hé quoi faire?
Ce que l’on fait alors qu’on en eſt là,	Ce que l’on fait alors qu’on en est là,
Ne dit-on pas qu’il ſe fait quelque choſe?	Ne dit-on pas qu’il se fait quelque chose?
Que dis-tu là? noſtre Regle defend	Que dis-tu là? notre Règle défend
De tels penſers. S’il nous fait un enfant.	De tels pensers. S’il nous fait un enfant.
Si l’on nous void. Tu t’en vas eſtre cauſe	Si l’on nous voit. Tu t’en vas être cause
De quelque mal? On ne nous verra point,	De quelque mal? On ne nous verra point,
Dit la premiere; & quant à l’autre point	Dit la première; et quant à l’autre point
C’eſt s’allarmer avant que le coup vienne.	C’est s’alarmer avant que le coup vienne.
Et ſans prevoir les choſes de ſi loing.	Et ſans prévoir les choſes de si loin.
Nul n’eſt icy, nous avons tout à point	Nul n’est ici, nous avons tout à point
N’y peut paſſer: Et puis ſur la venue	N’y peut passer: Et puis sur la venue
Je ſuis d’avis qu’une faſſe le guet:	Je suis d’avis qu’une fasse le guet:
Tandis que l’autre eſtant avec Mazet,	Tandis que l’autre étant avec Mazet,
A ſon bel aiſe aura lieu de s’inſtruire:	À Son bel aiSe aura lieu de s’instruire:
Il eſt muet & n’en pourra rien dire.	Il est muet et n’en pourra rien dire.
Soit fait dit l’autre; il faut à ton deſir	Soit fait dit l’autre; il faut à ton désir
Je paſſeray ſi tu veux la premiere	Je paſſerai si tu veux la première
Pour t’obliger? au moins à ton loiſir	Pour t’obliger? au moins à ton loisir
Qu’il ne ſera beſoin d’y retourner;	Qu’il ne sera besoin d’y retourner;
Ce que j’en dis, n’eſt que pour t’obliger.	Ce que j’en dis, n’est que pour t’obliger.
Je le voy bien, dit l’autre plus ſincere,	Je le vois bien, dit l’autre plus sincère,
Tu ne voudrois ſans cela commencer	Tu ne voudrais sans cela commencer
Aſſurement; & tu ſerois honteuſe.	Assurément; et tu serais honteuse.
Tant y reſta cette Sœur ſcrupuleuſe,	Tant y resta cette Sœur scrupuleuse,
